date,Revenue_Fish,Expenses_Fish,Profit (Loss)_Fish,Revenue_Supplies,Expenses_Supplies,Profit (Loss)_Supplies,Revenue_Total,Expenses_Total,Net income
May 2019,0.0,285000,-285000.0,0.0,0.0,0.0,0.0,285000.0,-285000.0
Jun 2019,0.0,3668900,-3668900.0,30000.0,0.0,30000.0,30000.0,3668900.0,-3638900.0
Jul 2019,0.0,31144330,-31144330.0,0.0,0.0,0.0,0.0,31144330.0,-31144330.0
Aug 2019,0.0,20862000,-20862000.0,0.0,0.0,0.0,0.0,20862000.0,-20862000.0
Sep 2019,0.0,24747400,-24747400.0,0.0,0.0,0.0,0.0,24747400.0,-24747400.0
Oct 2019,0.0,15568500,-15568500.0,0.0,0.0,0.0,0.0,15568500.0,-15568500.0
Nov 2019,0.0,19826900,-19826900.0,0.0,0.0,0.0,0.0,19826900.0,-19826900.0
Dec 2019,0.0,31531217,-31531217.0,0.0,0.0,0.0,0.0,31531217.0,-31531217.0
Jan 2020,0.0,675000,-675000.0,0.0,0.0,0.0,0.0,675000.0,-675000.0
Feb 2020,0.0,3126200,-3126200.0,0.0,0.0,0.0,0.0,3126200.0,-3126200.0
Mar 2020,0.0,3920000,-3920000.0,0.0,0.0,0.0,0.0,3920000.0,-3920000.0
Jul 2020,0.0,12505398,-12505398.0,0.0,0.0,0.0,0.0,12505398.0,-12505398.0
Aug 2020,0.0,1498900,-1498900.0,0.0,0.0,0.0,0.0,1498900.0,-1498900.0
Sep 2020,0.0,373400,-373400.0,0.0,0.0,0.0,0.0,373400.0,-373400.0
Oct 2020,0.0,327600,-327600.0,0.0,0.0,0.0,0.0,327600.0,-327600.0
Nov 2020,0.0,4428598,-4428598.0,0.0,0.0,0.0,0.0,4428598.0,-4428598.0
Dec 2020,0.0,3763299,-3763299.0,0.0,0.0,0.0,0.0,3763299.0,-3763299.0
Jan 2021,0.0,462600,-462600.0,0.0,0.0,0.0,0.0,462600.0,-462600.0
Mar 2021,0.0,42888485,-42888485.0,0.0,0.0,0.0,0.0,42888485.0,-42888485.0
Apr 2021,0.0,46119995,-46119995.0,0.0,0.0,0.0,0.0,46119995.0,-46119995.0
May 2021,0.0,68449295,-68449295.0,0.0,0.0,0.0,0.0,68449295.0,-68449295.0
Jun 2021,0.0,16723800,-16723800.0,0.0,0.0,0.0,0.0,16723800.0,-16723800.0
Jul 2021,0.0,22038800,-22038800.0,0.0,0.0,0.0,0.0,22038800.0,-22038800.0
Aug 2021,0.0,16443396,-16443396.0,0.0,0.0,0.0,0.0,16443396.0,-16443396.0
Sep 2021,28840890.0,10651300,18189590.0,0.0,20000.0,-20000.0,28840890.0,10671300.0,18169590.0
Nov 2021,36235429.0,29846500,6388929.0,0.0,0.0,0.0,36235429.0,29846500.0,6388929.0
Dec 2021,69815122.0,78571500,-8756378.0,0.0,0.0,0.0,69815122.0,78571500.0,-8756378.0
Jan 2022,42148796.0,24754007,17394789.0,0.0,0.0,0.0,42148796.0,24754007.0,17394789.0
Feb 2022,77623498.0,56348099,21275399.0,0.0,140000.0,-140000.0,77623498.0,56488099.0,21135399.0
Mar 2022,21806300.0,18374900,3431400.0,0.0,10000.0,-10000.0,21806300.0,18384900.0,3421400.0
Apr 2022,12260999.0,6273999,5987000.0,0.0,30000.0,-30000.0,12260999.0,6303999.0,5957000.0
May 2022,29205000.0,23334500,5870500.0,0.0,0.0,0.0,29205000.0,23334500.0,5870500.0
Jun 2022,9838399.0,7356999,2481400.0,0.0,0.0,0.0,9838399.0,7356999.0,2481400.0
